x	Y	View
62	216	RF
64	303	RF
69	330	RF
71	218	RF
66	208	RF
68	176	RF
61	220	RF
65	214	RF
64	163	RF
66	204	RF
61	227	RF
65	219	RF
68	230	RF
70	236	RF
71	221	RF
66	201	RF
62	227	RF
65	213	RF
64	203	RF
69	193	RF
67	194	RF
63	189	RF
69	231	RF
65	219	RF
70	237	RF
66	200	RF
67	305	RF
62	212	RF
64	232	RF
67	257	RF
70	228	RF
65	179	RF
67	206	RF
63	216	RF
69	229	RF
72	228	RF
68	182	RF
70	202	RF
72	173	RF
66	225	RF
63	214	RF
64	170	RF
72	214	RF
73	216	RF
64	212	RF
65	228	RF
67	192	RF
71	203	RF
70	213	RF
63	224	RF
65	218	RF
64	180	RF
66	189	RF
69	235	RF
63	192	RF
66	236	RF
69	180	RF
71	235	RF
69	266	RF
69	214	RF
71	222	RF
71	193	RF
73	284	RF
67	215	RF
74	310	RF
66	218	RF
73	174	RF
73	181	RF
72	216	RF
69	213	RF
66	331	RF
64	173	RF
67	179	RF
65	198	RF
69	203	RF
68	221	RF
68	196	RF
70	194	RF
74	226	RF
73	214	RF
74	233	RF
66	228	RF
67	229	RF
67	219	RF
72	223	RF
68	209	RF
66	186	RF
73	221	RF
69	217	RF
68	122	RF
68	221	RF
71	201	RF
71	242	RF
66	206	RF
65	202	RF
67	199	RF
64	198	RF
66	193	RF
69	215	RF
70	230	RF
70	182	RF
69	214	RF
68	244	RF
74	238	RF
74	225	RF
67	214	RF
69	212	RF
68	216	RF
73	225	RF
74	231	RF
74	204	RF
73	192	RF
68	217	RF
70	221	RF
71	181	RF
68	231	RF
71	238	RF
68	234	RF
75	187	RF
67	222	RF
71	191	RF
67	219	RF
66	198	RF
70	182	RF
72	223	RF
71	247	RF
70	185	RF
72	205	RF
66	198	RF
68	222	RF
72	234	RF
70	210	RF
70	207	RF
69	177	RF
70	218	RF
74	200	RF
76	190	RF
74	199	RF
76	223	RF
75	221	RF
71	205	RF
70	204	RF
76	225	RF
73	371	RF
74	160	RF
71	178	RF
74	211	RF
68	204	RF
70	212	RF
74	238	RF
67	171	RF
68	277	RF
68	201	RF
74	198	RF
74	200	RF
73	220	RF
74	241	RF
69	226	RF
67	260	RF
74	296	RF
67	220	RF
71	220	RF
74	217	RF
75	162	RF
73	216	RF
75	173	RF
68	206	RF
70	213	RF
69	157	RF
72	208	RF
67	195	RF
69	184	RF
73	247	RF
70	215	RF
70	209	RF
73	345	RF
77	194	RF
76	206	RF
72	223	RF
69	225	RF
70	217	RF
77	204	RF
72	242	RF
70	180	RF
67	252	RF
68	216	RF
71	212	RF
68	257	RF
69	204	RF
67	176	RF
68	225	RF
72	230	RF
71	215	RF
73	169	RF
70	258	RF
71	229	RF
71	211	RF
74	209	RF
69	229	RF
74	215	RF
78	208	RF
72	178	RF
74	211	RF
78	218	RF
77	232	RF
75	220	RF
70	228	RF
77	229	RF
72	246	RF
75	230	RF
77	195	RF
76	215	RF
75	182	RF
69	230	RF
77	201	RF
73	234	RF
73	179	RF
73	191	RF
72	191	RF
69	195	RF
72	188	RF
79	219	RF
76	209	RF
76	224	RF
75	210	RF
70	203	RF
72	212	RF
70	218	RF
75	217	RF
71	184	RF
74	224	RF
77	222	RF
75	189	RF
71	210	RF
76	206	RF
73	216	RF
74	187	RF
75	215	RF
71	233	RF
72	219	RF
72	229	RF
78	223	RF
73	214	RF
79	104	RF
76	227	RF
74	231	RF
70	182	RF
74	218	RF
71	207	RF
77	238	RF
76	179	RF
75	224	RF
72	177	RF
71	187	RF
80	228	RF
78	171	RF
72	183	RF
72	202	RF
78	251	RF
81	230	RF
81	246	RF
76	227	RF
77	224	RF
79	220	RF
80	225	RF
76	186	RF
75	183	RF
80	200	RF
81	228	RF
75	197	RF
81	229	RF
76	228	RF
74	228	RF
81	214	RF
81	212	RF
80	234	RF
79	234	RF
79	228	RF
82	219	RF
81	231	RF
76	226	RF
74	250	RF
79	223	RF
72	266	RF
73	225	RF
76	216	RF
80	226	RF
81	188	RF
80	177	RF
76	175	RF
72	226	RF
78	213	RF
75	217	RF
77	212	RF
81	192	RF
75	220	RF
79	227	RF
74	227	RF
76	215	RF
82	322	RF
77	228	RF
77	215	RF
75	224	RF
78	110	RF
80	214	RF
74	218	RF
82	362	RF
75	239	RF
80	223	RF
80	194	RF
82	245	RF
79	219	RF
75	224	RF
74	190	RF
79	243	RF
73	220	RF
80	227	RF
81	222	RF
75	182	RF
77	210	RF
77	221	RF
80	272	RF
79	221	RF
83	224	RF
81	230	RF
76	218	RF
80	233	RF
81	204	RF
77	218	RF
78	220	RF
78	225	RF
79	224	RF
77	131	RF
75	172	RF
78	222	RF
82	234	RF
82	237	RF
76	172	RF
78	219	RF
84	202	RF
77	179	RF
76	231	RF
85	186	RF
75	228	RF
75	234	RF
84	236	RF
83	237	RF
84	241	RF
83	232	RF
78	198	RF
86	225	RF
78	237	RF
85	239	RF
84	231	RF
80	227	RF
83	212	RF
84	209	RF
84	204	RF
81	208	RF
77	215	RF
83	194	RF
76	251	RF
79	230	RF
81	210	RF
82	283	RF
80	215	RF
83	176	RF
83	230	RF
78	235	RF
84	225	RF
84	244	RF
86	185	RF
80	258	RF
87	195	RF
82	184	RF
79	152	RF
84	200	RF
84	232	RF
79	184	RF
84	212	RF
81	209	RF
83	267	RF
87	209	RF
78	208	RF
81	212	RF
81	236	RF
79	226	RF
86	158	RF
77	230	RF
87	227	RF
81	224	RF
79	184	RF
82	218	RF
87	141	RF
87	147	RF
82	274	RF
81	232	RF
85	218	RF
87	196	RF
80	118	RF
81	238	RF
88	195	RF
82	238	RF
81	206	RF
79	265	RF
86	212	RF
80	235	RF
78	223	RF
86	187	RF
85	139	RF
84	206	RF
82	150	RF
82	231	RF
86	322	RF
86	176	RF
82	225	RF
79	246	RF
82	204	RF
82	236	RF
88	228	RF
87	234	RF
78	291	RF
87	219	RF
82	225	RF
85	227	RF
87	187	RF
86	196	RF
84	298	RF
87	231	RF
83	239	RF
84	235	RF
81	204	RF
85	265	RF
85	239	RF
82	177	RF
86	228	RF
83	226	RF
79	199	RF
88	227	RF
84	212	RF
82	219	RF
84	208	RF
85	197	RF
86	201	RF
89	167	RF
82	223	RF
84	215	RF
81	217	RF
88	231	RF
89	222	RF
84	222	RF
85	187	RF
82	223	RF
81	201	RF
80	219	RF
82	210	RF
86	229	RF
85	186	RF
80	202	RF
82	229	RF
86	223	RF
80	199	RF
86	209	RF
85	209	RF
88	238	RF
84	184	RF
87	224	RF
88	231	RF
83	210	RF
80	218	RF
86	214	RF
83	221	RF
82	188	RF
84	264	RF
84	234	RF
81	162	RF
88	226	RF
88	207	RF
84	131	RF
80	208	RF
82	222	RF
84	147	RF
87	138	RF
85	138	RF
82	249	RF
87	239	RF
87	243	RF
90	200	RF
87	165	RF
81	189	RF
84	213	RF
80	199	RF
90	237	RF
89	230	RF
88	164	RF
86	164	RF
84	231	RF
84	227	RF
82	202	RF
83	230	RF
81	241	RF
81	231	RF
81	188	RF
86	228	RF
88	244	RF
85	233	RF
89	201	RF
87	204	RF
82	244	RF
81	304	RF
81	224	RF
88	193	RF
83	220	RF
80	241	RF
82	229	RF
83	247	RF
81	186	RF
82	238	RF
82	233	RF
88	239	RF
83	259	RF
87	220	RF
82	239	RF
88	238	RF
82	206	RF
87	208	RF
85	197	RF
85	226	RF
87	222	RF
83	182	RF
86	247	RF
80	221	RF
88	175	RF
85	225	RF
83	273	RF
86	212	RF
89	126	RF
81	215	RF
88	239	RF
83	198	RF
82	204	RF
89	235	RF
88	222	RF
90	213	RF
82	168	RF
88	217	RF
83	212	RF
85	249	RF
84	252	RF
88	234	RF
82	214	RF
90	206	RF
88	194	RF
90	230	RF
82	189	RF
84	230	RF
84	237	RF
86	206	RF
84	239	RF
84	244	RF
88	227	RF
85	231	RF
86	243	RF
87	225	RF
82	210	RF
84	228	RF
91	251	RF
87	207	RF
87	249	RF
83	225	RF
89	233	RF
86	212	RF
84	175	RF
86	237	RF
82	246	RF
83	232	RF
86	210	RF
82	234	RF
90	264	RF
84	174	RF
91	237	RF
88	212	RF
88	236	RF
89	245	RF
84	231	RF
90	195	RF
88	215	RF
84	234	RF
81	243	RF
89	147	RF
90	240	RF
85	239	RF
90	207	RF
90	261	RF
89	231	RF
87	135	RF
86	224	RF
90	238	RF
83	233	RF
85	167	RF
89	182	RF
82	223	RF
84	222	RF
85	234	RF
85	206	RF
90	221	RF
85	243	RF
82	176	RF
84	181	RF
89	226	RF
90	233	RF
91	293	RF
85	221	RF
83	222	RF
86	211	RF
83	223	RF
89	221	RF
91	222	RF
88	183	RF
90	205	RF
84	208	RF
92	217	RF
86	168	RF
88	236	RF
84	125	RF
92	209	RF
91	204	RF
88	237	RF
89	131	RF
90	236	RF
84	253	RF
91	210	RF
83	221	RF
91	204	RF
89	226	RF
86	223	RF
89	229	RF
88	229	RF
88	251	RF
91	194	RF
92	219	RF
92	180	RF
89	216	RF
83	228	RF
83	222	RF
90	223	RF
92	208	RF
88	235	RF
82	238	RF
91	213	RF
90	233	RF
88	226	RF
90	226	RF
91	193	RF
86	226	RF
87	247	RF
89	255	RF
82	252	RF
83	219	RF
85	224	RF
87	246	RF
90	218	RF
89	180	RF
86	242	RF
85	247	RF
90	201	RF
82	166	RF
84	239	RF
85	271	RF
82	224	RF
87	176	RF
87	238	RF
88	220	RF
90	228	RF
84	234	RF
84	236	RF
89	207	RF
89	174	RF
90	221	RF
91	187	RF
88	187	RF
92	216	RF
87	245	RF
84	242	RF
90	235	RF
86	218	RF
87	225	RF
85	229	RF
85	234	RF
84	188	RF
82	206	RF
86	219	RF
91	234	RF
87	215	RF
86	218	RF
84	233	RF
87	235	RF
85	228	RF
84	244	RF
89	227	RF
88	226	RF
84	204	RF
92	236	RF
89	248	RF
88	241	RF
89	192	RF
89	229	RF
88	207	RF
83	228	RF
86	227	RF
85	219	RF
86	214	RF
85	225	RF
92	202	RF
87	199	RF
86	236	RF
89	262	RF
89	210	RF
93	228	RF
91	163	RF
83	179	RF
92	222	RF
91	204	RF
90	230	RF
86	206	RF
86	216	RF
86	190	RF
88	196	RF
84	227	RF
91	234	RF
92	220	RF
87	203	RF
85	229	RF
87	212	RF
87	215	RF
87	170	RF
92	217	RF
86	210	RF
89	205	RF
91	169	RF
93	238	RF
88	229	RF
91	191	RF
90	179	RF
84	238	RF
85	258	RF
87	238	RF
88	187	RF
88	225	RF
83	215	RF
90	234	RF
90	188	RF
84	213	RF
84	210	RF
86	176	RF
91	208	RF
89	247	RF
93	247	RF
89	247	RF
89	229	RF
87	224	RF
84	232	RF
86	228	RF
87	232	RF
89	252	RF
86	222	RF
90	248	RF
91	201	RF
85	236	RF
90	201	RF
88	226	RF
87	227	RF
85	236	RF
86	239	RF
87	214	RF
91	222	RF
86	201	RF
86	195	RF
88	209	RF
89	139	RF
90	206	RF
89	215	RF
86	241	RF
92	217	RF
90	200	RF
89	224	RF
86	164	RF
84	206	RF
85	187	RF
83	153	RF
90	230	RF
93	211	RF
83	211	RF
89	262	RF
91	229	RF
86	224	RF
90	159	RF
91	163	RF
86	220	RF
93	172	RF
90	201	RF
94	224	RF
94	206	RF
89	177	RF
88	241	RF
91	190	RF
90	225	RF
91	230	RF
91	218	RF
93	255	RF
92	232	RF
86	200	RF
84	210	RF
84	238	RF
90	195	RF
87	189	RF
89	169	RF
93	234	RF
92	213	RF
92	204	RF
93	175	RF
87	149	RF
92	191	RF
87	239	RF
85	202	RF
85	126	RF
91	268	RF
88	231	RF
85	223	RF
88	183	RF
93	184	RF
89	237	RF
91	214	RF
89	218	RF
87	203	RF
93	230	RF
85	207	RF
86	170	RF
92	205	RF
86	201	RF
85	181	RF
94	210	RF
89	205	RF
86	211	RF
87	216	RF
88	220	RF
90	240	RF
88	229	RF
93	226	RF
92	164	RF
89	215	RF
91	236	RF
93	201	RF
88	224	RF
91	174	RF
86	192	RF
89	225	RF
93	224	RF
94	212	RF
86	216	RF
86	239	RF
93	200	RF
93	193	RF
86	174	RF
87	218	RF
90	240	RF
93	185	RF
91	224	RF
93	216	RF
92	266	RF
92	209	RF
89	176	RF
85	211	RF
84	202	RF
86	188	RF
87	231	RF
84	190	RF
87	184	RF
90	237	RF
84	249	RF
92	165	RF
93	231	RF
90	240	RF
94	233	RF
93	233	RF
92	176	RF
89	229	RF
87	229	RF
93	205	RF
84	226	RF
89	187	RF
86	207	RF
90	220	RF
87	203	RF
90	209	RF
88	203	RF
84	204	RF
91	233	RF
90	210	RF
86	196	RF
92	236	RF
85	191	RF
91	192	RF
84	212	RF
84	208	RF
86	184	RF
89	172	RF
91	184	RF
88	214	RF
90	220	RF
89	193	RF
93	219	RF
88	241	RF
92	219	RF
92	257	RF
87	186	RF
85	170	RF
87	227	RF
87	219	RF
87	220	RF
93	178	RF
91	210	RF
87	211	RF
93	225	RF
88	168	RF
92	219	RF
91	240	RF
89	221	RF
93	219	RF
89	211	RF
85	226	RF
92	194	RF
88	203	RF
91	193	RF
88	205	RF
86	189	RF
92	221	RF
87	211	RF
89	206	RF
86	225	RF
88	220	RF
93	246	RF
86	196	RF
92	180	RF
93	183	RF
92	223	RF
91	216	RF
93	212	RF
92	242	RF
90	200	RF
91	183	RF
88	192	RF
88	264	RF
91	226	RF
91	180	RF
87	188	RF
94	248	RF
88	211	RF
90	178	RF
94	182	RF
87	219	RF
86	166	RF
90	221	RF
85	208	RF
89	241	RF
94	244	RF
86	230	RF
90	236	RF
88	170	RF
90	172	RF
93	299	RF
94	247	RF
89	198	RF
85	205	RF
93	176	RF
95	210	RF
86	174	RF
88	221	RF
87	210	RF
93	208	RF
85	227	RF
85	239	RF
87	203	RF
95	202	RF
93	209	RF
94	210	RF
90	190	RF
94	199	RF
87	238	RF
86	235	RF
87	223	RF
85	227	RF
88	199	RF
85	176	RF
92	211	RF
86	207	RF
88	213	RF
93	217	RF
85	208	RF
87	200	RF
91	273	RF
90	187	RF
88	237	RF
87	172	RF
92	207	RF
89	215	RF
94	200	RF
94	210	RF
91	236	RF
85	166	RF
90	171	RF
90	218	RF
93	190	RF
92	166	RF
90	230	RF
86	204	RF
90	235	RF
92	207	RF
93	214	RF
86	206	RF
88	228	RF
87	177	RF
92	198	RF
93	220	RF
86	220	RF
86	170	RF
85	207	RF
87	204	RF
89	210	RF
88	203	RF
89	207	RF
85	221	RF
87	236	RF
87	244	RF
94	204	RF
93	232	RF
91	243	RF
89	254	RF
92	173	RF
92	188	RF
92	230	RF
93	166	RF
86	210	RF
88	238	RF
94	238	RF
89	232	RF
90	224	RF
94	233	RF
94	213	RF
91	162	RF
94	237	RF
94	222	RF
89	205	RF
86	207	RF
91	212	RF
85	238	RF
88	205	RF
94	177	RF
95	216	RF
86	268	RF
86	204	RF
94	205	RF
90	186	RF
89	204	RF
89	200	RF
90	170	RF
92	208	RF
92	210	RF
90	167	RF
89	227	RF
85	231	RF
90	221	RF
87	247	RF
90	218	RF
90	243	RF
93	180	RF
86	206	RF
91	233	RF
86	166	RF
92	230	RF
88	176	RF
93	197	RF
91	257	RF
90	224	RF
90	210	RF
91	208	RF
92	227	RF
89	184	RF
86	207	RF
92	196	RF
87	239	RF
88	207	RF
89	190	RF
88	172	RF
88	207	RF
89	225	RF
87	209	RF
86	238	RF
92	222	RF
87	211	RF
85	193	RF
89	198	RF
86	199	RF
85	230	RF
93	202	RF
91	209	RF
89	187	RF
95	178	RF
91	208	RF
94	205	RF
94	211	RF
92	200	RF
87	210	RF
92	187	RF
95	208	RF
87	207	RF
95	202	RF
90	203	RF
87	226	RF
89	207	RF
91	238	RF
87	217	RF
89	170	RF
90	211	RF
95	222	RF
95	243	RF
94	243	RF
91	234	RF
95	242	RF
93	151	RF
91	206	RF
91	201	RF
89	178	RF
93	235	RF
86	202	RF
88	173	RF
89	184	RF
94	223	RF
90	176	RF
87	195	RF
89	188	RF
90	202	RF
95	223	RF
92	185	RF
96	181	RF
90	185	RF
87	216	RF
86	189	RF
89	221	RF
95	215	RF
93	199	RF
87	196	RF
88	195	RF
92	197	RF
87	210	RF
93	203	RF
94	247	RF
87	188	RF
91	269	RF
95	240	RF
87	207	RF
91	213	RF
89	199	RF
94	251	RF
96	204	RF
87	192	RF
88	160	RF
93	236	RF
90	163	RF
92	208	RF
90	184	RF
95	211	RF
91	205	RF
87	202	RF
96	234	RF
89	222	RF
94	206	RF
88	193	RF
90	202	RF
95	254	RF
90	251	RF
92	202	RF
88	170	RF
95	211	RF
87	200	RF
88	186	RF
89	239	RF
89	227	RF
90	300	RF
87	231	RF
93	198	RF
90	228	RF
94	165	RF
87	224	RF
87	210	RF
93	220	RF
93	257	RF
92	205	RF
95	208	RF
89	191	RF
95	232	RF
87	163	RF
88	221	RF
90	181	RF
94	194	RF
88	177	RF
95	209	RF
91	183	RF
88	196	RF
95	225	RF
93	198	RF
86	202	RF
88	227	RF
93	219	RF
95	209	RF
91	205	RF
93	191	RF
91	233	RF
87	228	RF
87	190	RF
93	203	RF
88	184	RF
95	198	RF
91	180	RF
93	243	RF
94	240	RF
90	222	RF
94	195	RF
89	220	RF
90	210	RF
93	151	RF
87	199	RF
95	215	RF
92	210	RF
88	220	RF
90	183	RF
86	206	RF
87	210	RF
93	211	RF
88	227	RF
95	175	RF
93	233	RF
94	234	RF
86	219	RF
90	203	RF
95	240	RF
95	172	RF
87	195	RF
90	227	RF
93	188	RF
89	203	RF
93	238	RF
95	202	RF
95	190	RF
94	202	RF
96	208	RF
94	219	RF
93	186	RF
92	222	RF
93	203	RF
91	207	RF
89	194	RF
86	203	RF
96	208	RF
91	223	RF
90	204	RF
94	201	RF
91	197	RF
93	206	RF
91	191	RF
93	210	RF
96	178	RF
91	229	RF
88	186	RF
86	192	RF
93	200	RF
86	212	RF
88	208	RF
89	220	RF
87	221	RF
86	162	RF
91	195	RF
94	188	RF
88	237	RF
90	243	RF
87	203	RF
94	277	RF
90	181	RF
92	181	RF
96	230	RF
89	158	RF
92	177	RF
95	212	RF
88	229	RF
87	224	RF
89	148	RF
95	172	RF
93	186	RF
88	200	RF
97	190	RF
95	185	RF
96	180	RF
94	355	RF
96	208	RF
90	206	RF
88	174	RF
96	209	RF
89	252	RF
90	225	RF
87	185	RF
94	243	RF
93	184	RF
94	191	RF
88	184	RF
95	204	RF
96	216	RF
88	180	RF
93	214	RF
97	190	RF
93	237	RF
92	221	RF
93	183	RF
96	150	RF
93	240	RF
88	175	RF
94	211	RF
96	210	RF
92	174	RF
91	205	RF
96	202	RF
94	186	RF
94	180	RF
94	234	RF
89	177	RF
88	235	RF
92	182	RF
95	205	RF
88	233	RF
96	170	RF
88	179	RF
91	219	RF
91	241	RF
95	208	RF
90	196	RF
92	225	RF
89	206	RF
92	206	RF
96	228	RF
90	187	RF
93	223	RF
88	227	RF
89	211	RF
89	231	RF
90	223	RF
90	202	RF
92	209	RF
92	179	RF
97	201	RF
89	201	RF
93	180	RF
94	223	RF
96	221	RF
97	183	RF
89	168	RF
89	211	RF
88	180	RF
97	235	RF
94	180	RF
96	201	RF
95	237	RF
91	215	RF
91	183	RF
94	225	RF
89	211	RF
94	220	RF
93	202	RF
90	228	RF
94	178	RF
91	181	RF
94	173	RF
93	209	RF
97	233	RF
88	186	RF
90	213	RF
93	207	RF
97	190	RF
92	186	RF
89	217	RF
88	160	RF
97	208	RF
93	231	RF
90	234	RF
96	215	RF
88	219	RF
95	233	RF
91	207	RF
92	181	RF
95	201	RF
92	192	RF
93	184	RF
91	192	RF
93	175	RF
95	185	RF
96	189	RF
95	199	RF
89	205	RF
93	274	RF
94	238	RF
92	208	RF
95	192	RF
95	217	RF
90	213	RF
94	168	RF
89	237	RF
88	168	RF
90	190	RF
97	185	RF
93	247	RF
90	197	RF
91	167	RF
88	303	RF
93	214	RF
91	220	RF
89	210	RF
93	178	RF
94	182	RF
90	205	RF
93	170	RF
89	221	RF
89	211	RF
93	201	RF
89	218	RF
96	206	RF
91	203	RF
87	204	RF
97	174	RF
91	235	RF
92	148	RF
97	186	RF
95	202	RF
94	199	RF
97	212	RF
87	201	RF
97	203	RF
96	213	RF
90	228	RF
92	200	RF
88	203	RF
96	188	RF
93	196	RF
97	189	RF
92	204	RF
93	208	RF
91	197	RF
92	223	RF
95	208	RF
88	208	RF
94	191	RF
95	177	RF
95	218	RF
98	213	RF
98	197	RF
96	228	RF
94	185	RF
91	183	RF
91	202	RF
90	212	RF
97	228	RF
93	219	RF
96	236	RF
90	213	RF
92	292	RF
96	185	RF
90	215	RF
94	206	RF
